,job,company,country,address,time,link
12,10 Senior/Middle Java Web Devs (Spring),PAL TECH,"
Singapore
",Ho Chi Minh,6 giờ trước,https://itviec.com/viec-lam-it/10-senior-middle-java-web-devs-spring-pal-tech-5602?lab_feature=preview_jd_page
13,"Senior Android Developer (Java, Kotlin)",Vega Corporation,"
Vietnam
",Ho Chi Minh,6 giờ trước,https://itviec.com/viec-lam-it/senior-android-developer-java-kotlin-vega-corporation-4641?lab_feature=preview_jd_page
14,"Backend Java Developer (Spring, SQL)",ABBANK,"
Vietnam
",Hot,6 giờ trước,https://itviec.com/viec-lam-it/backend-java-developer-spring-sql-abbank-2129?lab_feature=preview_jd_page
15,Senior Java Developers ,TP&P Technology,"
United States
",Ho Chi Minh,6 giờ trước,https://itviec.com/viec-lam-it/senior-java-developers-tp-p-technology-3719?lab_feature=preview_jd_page
16,"Full-stack Java Dev (SQL, JavaScript)",Scandinavian Software Park,"
Sweden
",Ha Noi,8 giờ trước,https://itviec.com/viec-lam-it/full-stack-java-dev-sql-javascript-scandinavian-software-park-5219?lab_feature=preview_jd_page
17,"Back-end Dev (Java, Spring, AWS)",Công ty TNHH Kegmil Việt Nam,"
Singapore
",Hot,8 giờ trước,https://itviec.com/viec-lam-it/back-end-dev-java-spring-database-cong-ty-tnhh-kegmil-viet-nam-2540?lab_feature=preview_jd_page
18,"DevOps Engineer (Java/JavaScript, AWS)",ABBANK,"
Vietnam
",Ha Noi,9 giờ trước,https://itviec.com/viec-lam-it/devops-engineer-java-javascript-aws-abbank-5831?lab_feature=preview_jd_page
19,JAVA/HYBRIS developer (JOINING BONUS),Bosch Global Software Technologies Company Limited,"
Germany
",Ha Noi,9 giờ trước,https://itviec.com/viec-lam-it/java-hybris-developer-joining-bonus-bosch-global-software-technologies-company-limited-4708?lab_feature=preview_jd_page
20,5 Java Developer (1-4 years – Up to 2k$),HCL Vietnam Company Limited,"
India
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/5-java-developer-1-4-years-up-to-2k-hcl-vietnam-company-limited-5858?lab_feature=preview_jd_page
21,Java Developer (Spring/MySQL) ~ 2000$,DAC Data Technology Vietnam - Hanoi Office,"
Vietnam
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/java-developer-spring-mysql-2000-dac-data-technology-vietnam-hanoi-office-1736?lab_feature=preview_jd_page
22,"3 Senior Java Dev - Spring Boot, SQL ",Rakus Vietnam Company,"
Japan
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/3-java-senior-dev-spring-boot-sql-rakus-vietnam-company-5847?lab_feature=preview_jd_page
23,Java Engineer - 1-month joining bonus,Orient Software Development Corp.,"
Singapore
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/senior-java-engineer-orient-software-development-corp-5648?lab_feature=preview_jd_page
24,"Senior Java Engineer (OOP, Spring)",FPT Software,"
Vietnam
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/senior-java-engineer-oop-spring-fpt-software-1156?lab_feature=preview_jd_page
25,"03 Backend Engineer (Java,Python,Golang)",VINBIGDATA,"
Vietnam
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/software-engineer-python-java-vinbigdata-1703?lab_feature=preview_jd_page
26,Java Developer (All level),Shinhan Finance Vietnam,"
Vietnam
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/java-developer-all-level-shinhan-finance-vietnam-4235?lab_feature=preview_jd_page
27,Angular Developer/Java Developer ,TTC Solutions,"
Vietnam
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/angular-developer-java-developer-ttc-solutions-5353?lab_feature=preview_jd_page
28,Middle/Senior Java Developer,NEC Vietnam,"
Japan
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/middle-senior-java-developer-nec-vietnam-5605?lab_feature=preview_jd_page
29,Middle/ Senior Developer (Java/ .NET),NEC Vietnam,"
Japan
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/middle-senior-developer-java-net-nec-vietnam-3604?lab_feature=preview_jd_page
30,[TG2] Java Developer (Spring) - 2Z088,TNG Holdings Vietnam,"
Vietnam
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/tg2-java-developer-spring-2z088-tng-holdings-vietnam-4404?lab_feature=preview_jd_page
31,Solution Architect (Java) Full Tet Bonus,Tyme,"
Singapore
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/solution-architect-tyme-3456?lab_feature=preview_jd_page
32,Backend Tech Lead (Java) Full Tet Bonus,Tyme,"
Singapore
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/backend-technical-leader-java-tyme-2140?lab_feature=preview_jd_page
33,"Sr Java Developer (Java, Microservices)",Hung Thinh Corporation,"
Vietnam
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/sr-java-developer-java-microservices-hung-thinh-corporation-3947?lab_feature=preview_jd_page
34,"Senior Java Engineers (Spring, J2EE)",TAPTAP,"
Singapore
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/senior-java-engineers-spring-j2ee-taptap-0303?lab_feature=preview_jd_page
35,"Backend Dev (Java, Python, Spring)",Viettel Group,"
Thứ 2 - Thứ 6
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/backend-dev-java-python-spring-viettel-group-2033?lab_feature=preview_jd_page
36,"Giám Sát & Vận Hành HT (Java, C++, PHP)",Viettel Group,"
Thứ 2 - Thứ 6
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/giam-sat-van-hanh-ht-java-c-php-viettel-group-0721?lab_feature=preview_jd_page
37,"5 Quality Control (QA QC, Java, Android)",Viettel Group,"
Thứ 2 - Thứ 6
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/5-quality-control-qa-qc-java-android-viettel-group-1258?lab_feature=preview_jd_page
38,Kỹ sư phát triển phần mềm (Java/Python),Viettel Group,"
Thứ 2 - Thứ 6
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/ky-su-phat-trien-phan-mem-java-python-viettel-group-1753?lab_feature=preview_jd_page
39,"Senior Backend Engineer (Java, Lambda)",Backbase,"
Singapore
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/senior-backend-engineer-java-spring-backbase-1238?lab_feature=preview_jd_page
40,02 Devs (Python/Java Android/Angular),WorldFusion Vietnam,"
Thứ 2 - Thứ 6
",Ha Noi,2 ngày trước,https://itviec.com/viec-lam-it/02-devs-python-java-android-angular-worldfusion-vietnam-4210?lab_feature=preview_jd_page
41,"Senior Fullstack Developer (Java, React)",Zuhlke Engineering Vietnam,"
Switzerland
",Hot,2 ngày trước,https://itviec.com/viec-lam-it/senior-fullstack-developer-java-react-zuhlke-engineering-vietnam-2910?lab_feature=preview_jd_page
42,Senior Backend Engineer (Java),Doctor Anywhere,"
Singapore
",Ha Noi,2 ngày trước,https://itviec.com/viec-lam-it/senior-backend-engineer-java-doctor-anywhere-3554?lab_feature=preview_jd_page
43,Back end Developer (Java/NodeJS),Mirae Asset Finance,"
South Korea
",Ho Chi Minh,2 ngày trước,https://itviec.com/viec-lam-it/back-end-developer-java-nodejs-mirae-asset-finance-3349?lab_feature=preview_jd_page
44,Senior Backend Software Engineer (Java),NOVA INTECHS,"
Vietnam
",Hot,2 ngày trước,https://itviec.com/viec-lam-it/senior-backend-engineer-java-php-mysql-nova-intechs-4449?lab_feature=preview_jd_page
45,Senior Android Developer (Java/Kotlin),Hitachi Vantara,"
United States
",Ho Chi Minh,2 ngày trước,https://itviec.com/viec-lam-it/senior-android-developer-hitachi-vantara-0107?lab_feature=preview_jd_page
46,"Senior Android Engineer (Kotlin, Java)",Zuhlke Engineering Vietnam,"
Switzerland
",Ho Chi Minh,2 ngày trước,https://itviec.com/viec-lam-it/senior-android-engineer-kotlin-java-zuhlke-engineering-ltd-0854?lab_feature=preview_jd_page
47,"Analyst, JAVA Application Development",Sun Life Vietnam Insurance Company Limited,"
Thứ 2 - Thứ 6
",Hot,2 ngày trước,https://itviec.com/viec-lam-it/analyst-java-application-development-sun-life-vietnam-insurance-company-limited-4923?lab_feature=preview_jd_page
48,Sr Back End-API & OAT (NodeJS/Java/PHP),Qamera Design,"
United States
",Ho Chi Minh,2 ngày trước,https://itviec.com/viec-lam-it/sr-back-end-api-oat-nodejs-java-php-qamera-design-3952?lab_feature=preview_jd_page
49,"Kỹ sư cầu nối (BrSE, Java, PHP) ~2500$",City Ascom Việt Nam,"
Vietnam
",Ho Chi Minh,2 ngày trước,https://itviec.com/viec-lam-it/ky-su-cau-noi-brse-java-php-2500-city-ascom-viet-nam-1729?lab_feature=preview_jd_page
50,05 Java Developer (Senior / Middle),UNIT Corp,"
Vietnam
",Hot,2 ngày trước,https://itviec.com/viec-lam-it/05-java-developer-senior-middle-unit-corp-0852?lab_feature=preview_jd_page
